temp	rep	conc	germ	seeds
T1	R1	0	9	50
T1	R1	0.1	13	50
T1	R1	1	21	50
T1	R1	10	40	50
T2	R1	0	19	50
T2	R1	0.1	33	50
T2	R1	1	43	50
T2	R1	10	48	50
T3	R1	0	7	50
T3	R1	0.1	1	50
T3	R1	1	8	50
T3	R1	10	3	50
T4	R1	0	4	50
T4	R1	0.1	13	50
T4	R1	1	16	50
T4	R1	10	13	50
T1	R2	0	9	50
T1	R2	0.1	12	50
T1	R2	1	23	50
T1	R2	10	32	50
T2	R2	0	30	50
T2	R2	0.1	32	50
T2	R2	1	40	50
T2	R2	10	48	50
T3	R2	0	7	50
T3	R2	0.1	2	50
T3	R2	1	10	50
T3	R2	10	4	50
T4	R2	0	9	50
T4	R2	0.1	6	50
T4	R2	1	13	50
T4	R2	10	18	50
T1	R3	0	3	50
T1	R3	0.1	14	50
T1	R3	1	24	50
T1	R3	10	43	50
T2	R3	0	21	50
T2	R3	0.1	30	50
T2	R3	1	37	50
T2	R3	10	49	50
T3	R3	0	2	50
T3	R3	0.1	4	50
T3	R3	1	6	50
T3	R3	10	8	50
T4	R3	0	3	50
T4	R3	0.1	15	50
T4	R3	1	18	50
T4	R3	10	11	50
T1	R4	0	7	50
T1	R4	0.1	15	50
T1	R4	1	27	50
T1	R4	10	34	50
T2	R4	0	29	50
T2	R4	0.1	26	50
T2	R4	1	41	50
T2	R4	10	48	50
T3	R4	0	5	50
T3	R4	0.1	4	50
T3	R4	1	7	50
T3	R4	10	5	50
T4	R4	0	7	50
T4	R4	0.1	7	50
T4	R4	1	19	50
T4	R4	10	16	50
