expt	row	col	yield
E1	1	1	0.93
E1	2	1	0.75
E1	3	1	0.42
E1	4	1	0.64
E1	5	1	0.58
E1	6	1	0.59
E1	7	1	0.69
E1	8	1	0.79
E1	9	1	0.73
E1	10	1	0.73
E1	11	1	0.7
E1	12	1	0.68
E1	1	2	1.03
E1	2	2	0.99
E1	3	2	0.82
E1	4	2	0.84
E1	5	2	0.86
E1	6	2	0.76
E1	7	2	0.76
E1	8	2	0.84
E1	9	2	0.85
E1	10	2	0.79
E1	11	2	0.72
E1	12	2	0.76
E1	1	3	0.77
E1	2	3	0.8
E1	3	3	0.74
E1	4	3	0.75
E1	5	3	0.76
E1	6	3	0.71
E1	7	3	0.77
E1	8	3	0.78
E1	9	3	0.79
E1	10	3	0.75
E1	11	3	0.74
E1	12	3	0.69
E1	1	4	0.98
E1	2	4	0.77
E1	3	4	0.81
E1	4	4	0.71
E1	5	4	0.65
E1	6	4	0.62
E1	7	4	0.67
E1	8	4	0.69
E1	9	4	0.7
E1	10	4	0.74
E1	11	4	0.58
E1	12	4	0.74
E1	1	5	1.01
E1	2	5	0.97
E1	3	5	0.74
E1	4	5	0.74
E1	5	5	0.81
E1	6	5	0.8
E1	7	5	0.87
E1	8	5	0.92
E1	9	5	0.85
E1	10	5	0.94
E1	11	5	0.88
E1	12	5	0.79
E1	1	6	1.12
E1	2	6	0.85
E1	3	6	0.77
E1	4	6	0.73
E1	5	6	0.81
E1	6	6	0.77
E1	7	6	0.72
E1	8	6	0.87
E1	9	6	0.71
E1	10	6	0.84
E1	11	6	0.69
E1	12	6	0.56
E1	1	7	1.07
E1	2	7	0.85
E1	3	7	0.69
E1	4	7	0.65
E1	5	7	0.68
E1	6	7	0.66
E1	7	7	0.79
E1	8	7	0.76
E1	9	7	0.81
E1	10	7	0.81
E1	11	7	0.84
E1	12	7	0.8
E1	1	8	1.12
E1	2	8	1.06
E1	3	8	0.81
E1	4	8	0.8
E1	5	8	0.79
E1	6	8	0.82
E1	7	8	0.89
E1	8	8	0.93
E1	9	8	0.9
E1	10	8	0.82
E1	11	8	0.85
E1	12	8	0.81
E1	1	9	0.83
E1	2	9	0.89
E1	3	9	0.6
E1	4	9	0.78
E1	5	9	0.76
E1	6	9	0.71
E1	7	9	0.75
E1	8	9	0.76
E1	9	9	0.75
E1	10	9	0.76
E1	11	9	0.76
E1	12	9	0.72
E1	1	10	1.11
E1	2	10	0.99
E1	3	10	0.84
E1	4	10	0.93
E1	5	10	0.85
E1	6	10	0.86
E1	7	10	0.88
E1	8	10	0.86
E1	9	10	0.84
E1	10	10	0.82
E1	11	10	0.94
E1	12	10	0.74
E1	1	11	0.98
E1	2	11	0.9
E1	3	11	0.75
E1	4	11	0.84
E1	5	11	0.79
E1	6	11	0.7
E1	7	11	0.78
E1	8	11	0.75
E1	9	11	0.8
E1	10	11	0.87
E1	11	11	0.64
E1	12	11	0.7
E1	1	12	1
E1	2	12	0.91
E1	3	12	0.87
E1	4	12	0.87
E1	5	12	0.91
E1	6	12	0.84
E1	7	12	0.82
E1	8	12	0.74
E1	9	12	0.89
E1	10	12	0.89
E1	11	12	0.78
E1	12	12	0.71
E1	1	13	1
E1	2	13	1.08
E1	3	13	0.7
E1	4	13	0.85
E1	5	13	0.92
E1	6	13	0.82
E1	7	13	0.95
E1	8	13	0.8
E1	9	13	0.88
E1	10	13	0.82
E1	11	13	0.85
E1	12	13	0.76
E1	1	14	1.05
E1	2	14	0.87
E1	3	14	0.82
E1	4	14	0.72
E1	5	14	0.91
E1	6	14	0.95
E1	7	14	0.93
E1	8	14	0.87
E1	9	14	0.83
E1	10	14	0.84
E1	11	14	0.86
E1	12	14	0.82
E1	1	15	1.08
E1	2	15	0.98
E1	3	15	0.86
E1	4	15	0.95
E1	5	15	0.93
E1	6	15	0.87
E1	7	15	0.97
E1	8	15	0.92
E1	9	15	0.9
E1	10	15	1
E1	11	15	0.93
E1	12	15	0.93
E1	1	16	1.07
E1	2	16	1
E1	3	16	0.89
E1	4	16	0.87
E1	5	16	0.96
E1	6	16	0.9
E1	7	16	0.92
E1	8	16	0.86
E1	9	16	0.89
E1	10	16	0.9
E1	11	16	0.82
E1	12	16	0.78
E1	1	17	1.15
E1	2	17	0.93
E1	3	17	0.78
E1	4	17	0.77
E1	5	17	0.78
E1	6	17	0.88
E1	7	17	0.83
E1	8	17	0.92
E1	9	17	0.93
E1	10	17	0.91
E1	11	17	0.87
E1	12	17	0.91
E1	1	18	1.12
E1	2	18	1.04
E1	3	18	0.84
E1	4	18	1.01
E1	5	18	1
E1	6	18	1.03
E1	7	18	1
E1	8	18	0.9
E1	9	18	0.96
E1	10	18	0.95
E1	11	18	1
E1	12	18	0.86
E2	1	1	0.92
E2	2	1	0.97
E2	3	1	1.1
E2	4	1	1.03
E2	5	1	1.03
E2	6	1	1.1
E2	7	1	1.04
E2	8	1	1.24
E2	9	1	1.2
E2	10	1	1.13
E2	11	1	1.13
E2	12	1	1.21
E2	1	2	1.07
E2	2	2	1.06
E2	3	2	1.01
E2	4	2	1
E2	5	2	1.09
E2	6	2	1.16
E2	7	2	1.17
E2	8	2	1.11
E2	9	2	1.15
E2	10	2	1.13
E2	11	2	1.01
E2	12	2	1.09
E2	1	3	0.79
E2	2	3	0.91
E2	3	3	0.88
E2	4	3	0.96
E2	5	3	0.89
E2	6	3	1.05
E2	7	3	1.14
E2	8	3	1.04
E2	9	3	0.92
E2	10	3	1
E2	11	3	1.02
E2	12	3	1.13
E2	1	4	0.97
E2	2	4	1.03
E2	3	4	1.01
E2	4	4	1.1
E2	5	4	1.06
E2	6	4	1.19
E2	7	4	1.19
E2	8	4	1.23
E2	9	4	1.22
E2	10	4	1.15
E2	11	4	1.11
E2	12	4	1.02
E2	1	5	0.84
E2	2	5	0.83
E2	3	5	0.92
E2	4	5	0.97
E2	5	5	0.98
E2	6	5	0.94
E2	7	5	1.23
E2	8	5	1.08
E2	9	5	1.02
E2	10	5	1.04
E2	11	5	1.01
E2	12	5	0.97
E2	1	6	0.72
E2	2	6	0.92
E2	3	6	0.87
E2	4	6	0.91
E2	5	6	0.87
E2	6	6	0.96
E2	7	6	1.15
E2	8	6	1.01
E2	9	6	1
E2	10	6	1.05
E2	11	6	0.86
E2	12	6	1.06
E2	1	7	0.93
E2	2	7	0.96
E2	3	7	1.2
E2	4	7	1.12
E2	5	7	1.16
E2	6	7	1.17
E2	7	7	1.29
E2	8	7	1.29
E2	9	7	1.21
E2	10	7	1.29
E2	11	7	1.06
E2	12	7	1.19
E2	1	8	0.92
E2	2	8	0.86
E2	3	8	1.12
E2	4	8	1.11
E2	5	8	1.09
E2	6	8	1.18
E2	7	8	1.13
E2	8	8	1.21
E2	9	8	1.18
E2	10	8	0.98
E2	11	8	1.12
E2	12	8	1.08
E2	1	9	0.86
E2	2	9	1.04
E2	3	9	1.14
E2	4	9	1.07
E2	5	9	1.16
E2	6	9	1.04
E2	7	9	1.19
E2	8	9	1.25
E2	9	9	1.21
E2	10	9	1.11
E2	11	9	1.14
E2	12	9	0.83
E2	1	10	0.87
E2	2	10	1.08
E2	3	10	0.97
E2	4	10	0.98
E2	5	10	1.11
E2	6	10	1.01
E2	7	10	1.04
