row	col	y	block	trt	spray	lead
1	1	1	B1	T1	N	N
2	1	0	B1	T1	N	N
3	1	1	B1	T1	N	N
4	1	3	B1	T1	N	N
5	1	6	B1	T1	N	N
6	1	0	B2	T1	N	N
7	1	2	B2	T1	N	N
8	1	2	B2	T1	N	N
9	1	1	B2	T1	N	N
10	1	3	B2	T1	N	N
11	1	0	B3	T1	N	N
12	1	3	B3	T1	N	N
13	1	1	B3	T1	N	N
14	1	0	B3	T1	N	N
15	1	2	B3	T1	N	N
16	1	0	B4	T1	N	N
17	1	1	B4	T1	N	N
18	1	4	B4	T1	N	N
19	1	3	B4	T1	N	N
20	1	3	B4	T1	N	N
21	1	0	B5	T1	N	N
22	1	0	B5	T1	N	N
23	1	1	B5	T1	N	N
24	1	0	B5	T1	N	N
25	1	1	B5	T1	N	N
26	1	2	B6	T1	N	N
27	1	1	B6	T1	N	N
28	1	1	B6	T1	N	N
29	1	1	B6	T1	N	N
30	1	1	B6	T1	N	N
31	1	1	B7	T1	N	N
32	1	1	B7	T1	N	N
33	1	7	B7	T1	N	N
34	1	5	B7	T1	N	N
35	1	4	B7	T1	N	N
36	1	1	B8	T1	N	N
37	1	0	B8	T1	N	N
38	1	1	B8	T1	N	N
39	1	0	B8	T1	N	N
40	1	1	B8	T1	N	N
41	1	4	B9	T1	N	N
42	1	1	B9	T1	N	N
43	1	4	B9	T1	N	N
44	1	1	B9	T1	N	N
45	1	2	B9	T1	N	N
46	1	3	B10	T1	N	N
47	1	4	B10	T1	N	N
48	1	0	B10	T1	N	N
49	1	2	B10	T1	N	N
50	1	3	B10	T1	N	N
51	1	1	B11	T1	N	N
52	1	1	B11	T1	N	N
53	1	2	B11	T1	N	N
54	1	1	B11	T1	N	N
55	1	0	B11	T1	N	N
56	1	1	B12	T1	N	N
57	1	2	B12	T1	N	N
58	1	0	B12	T1	N	N
59	1	1	B12	T1	N	N
60	1	0	B12	T1	N	N
61	1	0	B13	T1	N	N
62	1	0	B13	T1	N	N
63	1	0	B13	T1	N	N
64	1	3	B13	T1	N	N
65	1	0	B13	T1	N	N
1	2	6	B1	T1	N	N
2	2	1	B1	T1	N	N
3	2	1	B1	T1	N	N
4	2	2	B1	T1	N	N
5	2	3	B1	T1	N	N
6	2	0	B2	T1	N	N
7	2	0	B2	T1	N	N
8	2	4	B2	T1	N	N
9	2	1	B2	T1	N	N
10	2	1	B2	T1	N	N
11	2	0	B3	T1	N	N
12	2	2	B3	T1	N	N
13	2	1	B3	T1	N	N
14	2	5	B3	T1	N	N
15	2	1	B3	T1	N	N
16	2	2	B4	T1	N	N
17	2	0	B4	T1	N	N
18	2	0	B4	T1	N	N
19	2	0	B4	T1	N	N
20	2	2	B4	T1	N	N
21	2	0	B5	T1	N	N
22	2	1	B5	T1	N	N
23	2	1	B5	T1	N	N
24	2	1	B5	T1	N	N
25	2	0	B5	T1	N	N
26	2	0	B6	T1	N	N
27	2	5	B6	T1	N	N
28	2	0	B6	T1	N	N
29	2	3	B6	T1	N	N
30	2	0	B6	T1	N	N
31	2	3	B7	T1	N	N
32	2	3	B7	T1	N	N
33	2	9	B7	T1	N	N
34	2	3	B7	T1	N	N
35	2	5	B7	T1	N	N
36	2	0	B8	T1	N	N
37	2	2	B8	T1	N	N
38	2	5	B8	T1	N	N
39	2	2	B8	T1	N	N
40	2	3	B8	T1	N	N
41	2	0	B9	T1	N	N
42	2	2	B9	T1	N	N
43	2	2	B9	T1	N	N
44	2	2	B9	T1	N	N
45	2	3	B9	T1	N	N
46	2	0	B10	T1	N	N
47	2	0	B10	T1	N	N
48	2	2	B10	T1	N	N
49	2	0	B10	T1	N	N
50	2	3	B10	T1	N	N
51	2	0	B11	T1	N	N
52	2	2	B11	T1	N	N
53	2	1	B11	T1	N	N
54	2	1	B11	T1	N	N
55	2	2	B11	T1	N	N
56	2	1	B12	T1	N	N
57	2	2	B12	T1	N	N
58	2	0	B12	T1	N	N
59	2	0	B12	T1	N	N
60	2	1	B12	T1	N	N
61	2	1	B13	T1	N	N
62	2	3	B13	T1	N	N
63	2	0	B13	T1	N	N
64	2	1	B13	T1	N	N
65	2	0	B13	T1	N	N
1	3	1	B1	T1	N	N
2	3	1	B1	T1	N	N
3	3	2	B1	T1	N	N
4	3	3	B1	T1	N	N
5	3	0	B1	T1	N	N
6	3	1	B2	T1	N	N
7	3	4	B2	T1	N	N
8	3	1	B2	T1	N	N
9	3	2	B2	T1	N	N
10	3	5	B2	T1	N	N
11	3	1	B3	T1	N	N
12	3	0	B3	T1	N	N
13	3	0	B3	T1	N	N
14	3	0	B3	T1	N	N
15	3	0	B3	T1	N	N
16	3	0	B4	T1	N	N
17	3	2	B4	T1	N	N
18	3	2	B4	T1	N	N
19	3	1	B4	T1	N	N
20	3	1	B4	T1	N	N
21	3	0	B5	T1	N	N
22	3	0	B5	T1	N	N
23	3	0	B5	T1	N	N
24	3	3	B5	T1	N	N
25	3	1	B5	T1	N	N
26	3	5	B6	T1	N	N
27	3	2	B6	T1	N	N
28	3	4	B6	T1	N	N
29	3	4	B6	T1	N	N
30	3	0	B6	T1	N	N
31	3	4	B7	T1	N	N
32	3	3	B7	T1	N	N
33	3	2	B7	T1	N	N
34	3	1	B7	T1	N	N
35	3	0	B7	T1	N	N
36	3	0	B8	T1	N	N
37	3	1	B8	T1	N	N
38	3	2	B8	T1	N	N
39	3	1	B8	T1	N	N
40	3	3	B8	T1	N	N
41	3	2	B9	T1	N	N
42	3	1	B9	T1	N	N
43	3	0	B9	T1	N	N
44	3	0	B9	T1	N	N
45	3	4	B9	T1	N	N
46	3	4	B10	T1	N	N
47	3	4	B10	T1	N	N
48	3	4	B10	T1	N	N
49	3	0	B10	T1	N	N
50	3	4	B10	T1	N	N
51	3	3	B11	T1	N	N
52	3	0	B11	T1	N	N
53	3	0	B11	T1	N	N
54	3	1	B11	T1	N	N
55	3	4	B11	T1	N	N
56	3	2	B12	T1	N	N
57	3	3	B12	T1	N	N
58	3	0	B12	T1	N	N
59	3	0	B12	T1	N	N
60	3	1	B12	T1	N	N
61	3	1	B13	T1	N	N
62	3	3	B13	T1	N	N
63	3	1	B13	T1	N	N
64	3	2	B13	T1	N	N
65	3	0	B13	T1	N	N
1	4	0	B1	T1	N	N
2	4	2	B1	T1	N	N
3	4	0	B1	T1	N	N
4	4	3	B1	T1	N	N
5	4	3	B1	T1	N	N
6	4	0	B2	T1	N	N
7	4	3	B2	T1	N	N
8	4	0	B2	T1	N	N
9	4	0	B2	T1	N	N
10	4	0	B2	T1	N	N
11	4	0	B3	T1	N	N
12	4	1	B3	T1	N	N
13	4	0	B3	T1	N	N
14	4	0	B3	T1	N	N
15	4	1	B3	T1	N	N
16	4	0	B4	T1	N	N
17	4	0	B4	T1	N	N
18	4	0	B4	T1	N	N
19	4	4	B4	T1	N	N
20	4	2	B4	T1	N	N
21	4	0	B5	T1	N	N
22	4	1	B5	T1	N	N
23	4	0	B5	T1	N	N
24	4	0	B5	T1	N	N
25	4	0	B5	T1	N	N
26	4	7	B6	T1	N	N
27	4	1	B6	T1	N	N
28	4	0	B6	T1	N	N
29	4	1	B6	T1	N	N
30	4	2	B6	T1	N	N
31	4	0	B7	T1	N	N
32	4	3	B7	T1	N	N
33	4	3	B7	T1	N	N
34	4	2	B7	T1	N	N
35	4	0	B7	T1	N	N
36	4	1	B8	T1	N	N
37	4	2	B8	T1	N	N
38	4	1	B8	T1	N	N
39	4	2	B8	T1	N	N
40	4	3	B8	T1	N	N
