loc	locgroup	gen	gengroup	yield
AK	Grp2	G01	W2	6
AS	Grp1	G01	W2	4.1
BJ	Grp1	G01	W2	2.7
CA	Grp2	G01	W2	3.5
EB	Grp2	G01	W2	6.9
EG	Grp2	G01	W2	7.8
ES	Grp2	G01	W2	5.2
ID	Grp1	G01	W2	4
IL	Grp1	G01	W2	3.5
JM	Grp1	G01	W2	4
KN	Grp1	G01	W2	2.2
MG	Grp1	G01	W2	10.6
MM	Grp1	G01	W2	6.7
MS	Grp1	G01	W2	6.7
NB	Grp1	G01	W2	2
PA	Grp1	G01	W2	3.2
PI	Grp1	G01	W2	3.6
SC	Grp1	G01	W2	4.1
SE	Grp2	G01	W2	7.7
SG	Grp2	G01	W2	1.5
SJ	Grp1	G01	W2	5.6
SR	Grp2	G01	W2	0.8
SS	Grp1	G01	W2	5.6
TB	Grp2	G01	W2	6
TC	Grp1	G01	W2	2.9
AK	Grp2	G02	W2	6
AS	Grp1	G02	W2	4.3
BJ	Grp1	G02	W2	3.2
CA	Grp2	G02	W2	2.9
EB	Grp2	G02	W2	7.1
EG	Grp2	G02	W2	8.3
ES	Grp2	G02	W2	5.4
ID	Grp1	G02	W2	5.2
IL	Grp1	G02	W2	2.8
JM	Grp1	G02	W2	2.9
KN	Grp1	G02	W2	2.1
MG	Grp1	G02	W2	9.6
MM	Grp1	G02	W2	4.9
MS	Grp1	G02	W2	7.7
NB	Grp1	G02	W2	2.3
PA	Grp1	G02	W2	2.1
PI	Grp1	G02	W2	3.8
SC	Grp1	G02	W2	4.9
SE	Grp2	G02	W2	7.8
SG	Grp2	G02	W2	1.6
SJ	Grp1	G02	W2	6.1
SR	Grp2	G02	W2	1.3
SS	Grp1	G02	W2	5.2
TB	Grp2	G02	W2	7.2
TC	Grp1	G02	W2	2.6
AK	Grp2	G03	W3	5.4
AS	Grp1	G03	W3	3.9
BJ	Grp1	G03	W3	2.7
CA	Grp2	G03	W3	3.2
EB	Grp2	G03	W3	7.5
EG	Grp2	G03	W3	7.7
ES	Grp2	G03	W3	5.5
ID	Grp1	G03	W3	3.6
IL	Grp1	G03	W3	2.8
JM	Grp1	G03	W3	3.8
KN	Grp1	G03	W3	2.1
MG	Grp1	G03	W3	9.1
MM	Grp1	G03	W3	4.4
MS	Grp1	G03	W3	6.3
NB	Grp1	G03	W3	1.4
PA	Grp1	G03	W3	2.6
PI	Grp1	G03	W3	3.5
SC	Grp1	G03	W3	4.6
SE	Grp2	G03	W3	7.7
SG	Grp2	G03	W3	1
SJ	Grp1	G03	W3	4.7
SR	Grp2	G03	W3	0.7
SS	Grp1	G03	W3	5.1
TB	Grp2	G03	W3	6.5
TC	Grp1	G03	W3	1.4
AK	Grp2	G04	W1	6.3
AS	Grp1	G04	W1	4.6
BJ	Grp1	G04	W1	3.1
CA	Grp2	G04	W1	2.2
EB	Grp2	G04	W1	6.9
EG	Grp2	G04	W1	6.1
ES	Grp2	G04	W1	5.5
ID	Grp1	G04	W1	4.9
IL	Grp1	G04	W1	3.9
JM	Grp1	G04	W1	4.6
KN	Grp1	G04	W1	2
MG	Grp1	G04	W1	11.8
MM	Grp1	G04	W1	6.5
MS	Grp1	G04	W1	8.3
NB	Grp1	G04	W1	2.1
PA	Grp1	G04	W1	3
PI	Grp1	G04	W1	3.4
SC	Grp1	G04	W1	5.5
SE	Grp2	G04	W1	8.2
SG	Grp2	G04	W1	1.2
SJ	Grp1	G04	W1	6.4
SR	Grp2	G04	W1	0.7
SS	Grp1	G04	W1	5.7
TB	Grp2	G04	W1	6.7
TC	Grp1	G04	W1	3.1
AK	Grp2	G05	W1	5.9
AS	Grp1	G05	W1	4
BJ	Grp1	G05	W1	4
CA	Grp2	G05	W1	1.8
EB	Grp2	G05	W1	5.8
EG	Grp2	G05	W1	8.1
ES	Grp2	G05	W1	5.5
ID	Grp1	G05	W1	5
IL	Grp1	G05	W1	3.9
JM	Grp1	G05	W1	3.9
KN	Grp1	G05	W1	1.9
MG	Grp1	G05	W1	12.5
MM	Grp1	G05	W1	7.5
MS	Grp1	G05	W1	7.9
NB	Grp1	G05	W1	1.8
PA	Grp1	G05	W1	2.8
PI	Grp1	G05	W1	3.9
SC	Grp1	G05	W1	5.3
SE	Grp2	G05	W1	8.1
SG	Grp2	G05	W1	1.4
SJ	Grp1	G05	W1	6.6
SR	Grp2	G05	W1	1
SS	Grp1	G05	W1	6.7
TB	Grp2	G05	W1	6.6
TC	Grp1	G05	W1	3.4
AK	Grp2	G06	W2	6.1
AS	Grp1	G06	W2	4.1
BJ	Grp1	G06	W2	3.2
CA	Grp2	G06	W2	2.7
EB	Grp2	G06	W2	7.2
EG	Grp2	G06	W2	8.4
ES	Grp2	G06	W2	5.3
ID	Grp1	G06	W2	4.7
IL	Grp1	G06	W2	4.9
JM	Grp1	G06	W2	4.3
KN	Grp1	G06	W2	2.6
MG	Grp1	G06	W2	10.9
MM	Grp1	G06	W2	5.4
MS	Grp1	G06	W2	7.6
NB	Grp1	G06	W2	2.1
PA	Grp1	G06	W2	2.3
PI	Grp1	G06	W2	4.3
SC	Grp1	G06	W2	4.8
SE	Grp2	G06	W2	7.3
SG	Grp2	G06	W2	1.6
SJ	Grp1	G06	W2	6.7
SR	Grp2	G06	W2	0.8
SS	Grp1	G06	W2	5.3
TB	Grp2	G06	W2	4.5
TC	Grp1	G06	W2	2.6
AK	Grp2	G07	W1	6
AS	Grp1	G07	W1	4.5
BJ	Grp1	G07	W1	3.5
CA	Grp2	G07	W1	2.1
EB	Grp2	G07	W1	5.7
EG	Grp2	G07	W1	8.1
ES	Grp2	G07	W1	5.5
ID	Grp1	G07	W1	5.3
IL	Grp1	G07	W1	2.1
JM	Grp1	G07	W1	3.9
KN	Grp1	G07	W1	2.2
MG	Grp1	G07	W1	10.9
MM	Grp1	G07	W1	5.7
MS	Grp1	G07	W1	7.5
NB	Grp1	G07	W1	1.9
PA	Grp1	G07	W1	3.6
PI	Grp1	G07	W1	4.4
SC	Grp1	G07	W1	6
SE	Grp2	G07	W1	8.4
SG	Grp2	G07	W1	1.1
SJ	Grp1	G07	W1	6.8
SR	Grp2	G07	W1	1
SS	Grp1	G07	W1	5.6
TB	Grp2	G07	W1	6
TC	Grp1	G07	W1	3.2
AK	Grp2	G08	W3	5.9
AS	Grp1	G08	W3	3.5
BJ	Grp1	G08	W3	2.5
CA	Grp2	G08	W3	2.2
EB	Grp2	G08	W3	6.7
EG	Grp2	G08	W3	8.8
ES	Grp2	G08	W3	6.2
ID	Grp1	G08	W3	4.3
IL	Grp1	G08	W3	2.5
JM	Grp1	G08	W3	1.5
KN	Grp1	G08	W3	1.8
MG	Grp1	G08	W3	9.9
MM	Grp1	G08	W3	5.6
MS	Grp1	G08	W3	7.5
NB	Grp1	G08	W3	1.1
