tree	dir	y
T01	N	72
T02	N	60
T03	N	56
T04	N	41
T05	N	32
T06	N	30
T07	N	39
T08	N	42
T09	N	37
T10	N	33
T11	N	32
T12	N	63
T13	N	54
T14	N	47
T15	N	91
T16	N	56
T17	N	79
T18	N	81
T19	N	78
T20	N	46
T21	N	39
T22	N	32
T23	N	60
T24	N	35
T25	N	39
T26	N	50
T27	N	43
T28	N	48
T01	E	66
T02	E	53
T03	E	57
T04	E	29
T05	E	32
T06	E	35
T07	E	39
T08	E	43
T09	E	40
T10	E	29
T11	E	30
T12	E	45
T13	E	46
T14	E	51
T15	E	79
T16	E	68
T17	E	65
T18	E	80
T19	E	55
T20	E	38
T21	E	35
T22	E	30
T23	E	50
T24	E	37
T25	E	36
T26	E	34
T27	E	37
T28	E	54
T01	S	76
T02	S	66
T03	S	64
T04	S	36
T05	S	35
T06	S	34
T07	S	31
T08	S	31
T09	S	31
T10	S	27
T11	S	34
T12	S	74
T13	S	60
T14	S	52
T15	S	100
T16	S	47
T17	S	70
T18	S	68
T19	S	67
T20	S	37
T21	S	34
T22	S	30
T23	S	67
T24	S	48
T25	S	39
T26	S	37
T27	S	39
T28	S	57
T01	W	77
T02	W	63
T03	W	58
T04	W	38
T05	W	36
T06	W	26
T07	W	27
T08	W	25
T09	W	25
T10	W	36
T11	W	28
T12	W	63
T13	W	52
T14	W	43
T15	W	75
T16	W	50
T17	W	61
T18	W	58
T19	W	60
T20	W	38
T21	W	37
T22	W	32
T23	W	54
T24	W	39
T25	W	31
T26	W	40
T27	W	50
T28	W	43
