month	depth	temp
1	0.25	-84
2	0.25	-90
3	0.25	-29
4	0.25	3
5	0.25	22
6	0.25	52
7	0.25	54
8	0.25	44
9	0.25	24
10	0.25	-12
11	0.25	-48
12	0.25	-72
1	0.5	-80
2	0.5	-82
3	0.5	-52
4	0.5	-20
5	0.5	13
6	0.5	38
7	0.5	42
8	0.5	40
9	0.5	22
10	0.5	-16
11	0.5	-46
12	0.5	-71
1	1	-74
2	1	-78
3	1	-49
4	1	-20
5	1	11
6	1	33
7	1	40
8	1	38
9	1	24
10	1	-13
11	1	-42
12	1	-66
1	2	-68
2	2	-70
3	2	-53
4	2	-28
5	2	2
6	2	24
7	2	32
8	2	34
9	2	25
10	2	-7
11	2	-30
12	2	-56
1	3	-60
2	3	-65
3	3	-53
4	3	-29
5	3	-2
6	3	18
7	3	32
8	3	36
9	3	29
10	3	1
11	3	-21
12	3	-46
1	4	-50
2	4	-54
3	4	-48
4	4	-32
5	4	-6
6	4	11
7	4	26
8	4	32
9	4	28
10	4	6
11	4	-13
12	4	-35
1	6	-35
2	6	-45
3	6	-46
4	6	-32
5	6	-16
6	6	1
7	6	18
8	6	26
9	6	28
10	6	14
11	6	0
12	6	-20
