"animal"	"trt"	"day"	"weight"
"A1"	"A"	0	233
"A2"	"A"	0	231
"A3"	"A"	0	232
"A4"	"A"	0	239
"A5"	"A"	0	215
"A6"	"A"	0	236
"A7"	"A"	0	219
"A8"	"A"	0	231
"A9"	"A"	0	230
"A10"	"A"	0	232
"A11"	"A"	0	234
"A12"	"A"	0	237
"A13"	"A"	0	229
"A14"	"A"	0	220
"A15"	"A"	0	232
"A16"	"A"	0	210
"A17"	"A"	0	229
"A18"	"A"	0	204
"A19"	"A"	0	220
"A20"	"A"	0	233
"A21"	"A"	0	234
"A22"	"A"	0	200
"A23"	"A"	0	220
"A24"	"A"	0	225
"A25"	"A"	0	236
"A26"	"A"	0	231
"A27"	"A"	0	208
"A28"	"A"	0	232
"A29"	"A"	0	233
"A30"	"A"	0	221
"A31"	"B"	0	210
"A32"	"B"	0	230
"A33"	"B"	0	226
"A34"	"B"	0	233
"A35"	"B"	0	238
"A36"	"B"	0	225
"A37"	"B"	0	224
"A38"	"B"	0	237
"A39"	"B"	0	237
"A40"	"B"	0	233
"A41"	"B"	0	217
"A42"	"B"	0	228
"A43"	"B"	0	241
"A44"	"B"	0	221
"A45"	"B"	0	217
"A46"	"B"	0	214
"A47"	"B"	0	224
"A48"	"B"	0	200
"A49"	"B"	0	238
"A50"	"B"	0	230
"A51"	"B"	0	217
"A52"	"B"	0	209
"A53"	"B"	0	224
"A54"	"B"	0	230
"A55"	"B"	0	216
"A56"	"B"	0	231
"A57"	"B"	0	207
"A58"	"B"	0	227
"A59"	"B"	0	221
"A60"	"B"	0	233
"A1"	"A"	14	224
"A2"	"A"	14	238
"A3"	"A"	14	237
"A4"	"A"	14	246
"A5"	"A"	14	216
"A6"	"A"	14	226
"A7"	"A"	14	229
"A8"	"A"	14	245
"A9"	"A"	14	228
"A10"	"A"	14	240
"A11"	"A"	14	237
"A12"	"A"	14	235
"A13"	"A"	14	234
"A14"	"A"	14	227
"A15"	"A"	14	241
"A16"	"A"	14	225
"A17"	"A"	14	241
"A18"	"A"	14	198
"A19"	"A"	14	221
"A20"	"A"	14	234
"A21"	"A"	14	234
"A22"	"A"	14	207
"A23"	"A"	14	213
"A24"	"A"	14	239
"A25"	"A"	14	245
"A26"	"A"	14	231
"A27"	"A"	14	211
"A28"	"A"	14	248
"A29"	"A"	14	241
"A30"	"A"	14	219
"A31"	"B"	14	215
"A32"	"B"	14	240
"A33"	"B"	14	233
"A34"	"B"	14	239
"A35"	"B"	14	241
"A36"	"B"	14	228
"A37"	"B"	14	225
"A38"	"B"	14	241
"A39"	"B"	14	224
"A40"	"B"	14	239
"A41"	"B"	14	222
"A42"	"B"	14	223
"A43"	"B"	14	247
"A44"	"B"	14	221
"A45"	"B"	14	220
"A46"	"B"	14	221
"A47"	"B"	14	231
"A48"	"B"	14	203
"A49"	"B"	14	232
"A50"	"B"	14	222
"A51"	"B"	14	224
"A52"	"B"	14	209
"A53"	"B"	14	227
"A54"	"B"	14	231
"A55"	"B"	14	218
"A56"	"B"	14	239
"A57"	"B"	14	216
"A58"	"B"	14	236
"A59"	"B"	14	232
"A60"	"B"	14	238
"A1"	"A"	28	245
"A2"	"A"	28	260
"A3"	"A"	28	245
"A4"	"A"	28	268
"A5"	"A"	28	239
"A6"	"A"	28	242
"A7"	"A"	28	246
"A8"	"A"	28	270
"A9"	"A"	28	243
"A10"	"A"	28	247
"A11"	"A"	28	259
"A12"	"A"	28	258
"A13"	"A"	28	254
"A14"	"A"	28	248
"A15"	"A"	28	255
"A16"	"A"	28	242
"A17"	"A"	28	252
"A18"	"A"	28	217
"A19"	"A"	28	236
"A20"	"A"	28	250
"A21"	"A"	28	254
"A22"	"A"	28	217
"A23"	"A"	28	229
"A24"	"A"	28	254
"A25"	"A"	28	257
"A26"	"A"	28	237
"A27"	"A"	28	238
"A28"	"A"	28	261
"A29"	"A"	28	252
"A30"	"A"	28	231
"A31"	"B"	28	230
"A32"	"B"	28	258
"A33"	"B"	28	248
"A34"	"B"	28	253
"A35"	"B"	28	262
"A36"	"B"	28	237
"A37"	"B"	28	239
"A38"	"B"	28	255
"A39"	"B"	28	234
"A40"	"B"	28	259
"A41"	"B"	28	235
"A42"	"B"	28	246
"A43"	"B"	28	268
"A44"	"B"	28	240
"A45"	"B"	28	235
"A46"	"B"	28	237
"A47"	"B"	28	241
"A48"	"B"	28	221
"A49"	"B"	28	252
"A50"	"B"	28	243
"A51"	"B"	28	242
"A52"	"B"	28	221
"A53"	"B"	28	245
"A54"	"B"	28	244
"A55"	"B"	28	223
"A56"	"B"	28	254
"A57"	"B"	28	228
"A58"	"B"	28	251
"A59"	"B"	28	251
"A60"	"B"	28	254
"A1"	"A"	42	258
"A2"	"A"	42	273
"A3"	"A"	42	265
"A4"	"A"	42	288
"A5"	"A"	42	264
"A6"	"A"	42	255
"A7"	"A"	42	265
"A8"	"A"	42	292
"A9"	"A"	42	255
"A10"	"A"	42	263
"A11"	"A"	42	289
"A12"	"A"	42	263
"A13"	"A"	42	276
"A14"	"A"	42	273
"A15"	"A"	42	276
"A16"	"A"	42	260
"A17"	"A"	42	265
"A18"	"A"	42	233
"A19"	"A"	42	260
"A20"	"A"	42	268
"A21"	"A"	42	274
"A22"	"A"	42	238
"A23"	"A"	42	252
"A24"	"A"	42	269
"A25"	"A"	42	271
"A26"	"A"	42	261
"A27"	"A"	42	254
"A28"	"A"	42	285
"A29"	"A"	42	273
"A30"	"A"	42	251
"A31"	"B"	42	244
"A32"	"B"	42	277
"A33"	"B"	42	277
"A34"	"B"	42	277
"A35"	"B"	42	282
"A36"	"B"	42	261
"A37"	"B"	42	257
"A38"	"B"	42	276
"A39"	"B"	42	239
"A40"	"B"	42	283
"A41"	"B"	42	256
"A42"	"B"	42	266
"A43"	"B"	42	290
"A44"	"B"	42	253
"A45"	"B"	42	259
"A46"	"B"	42	256
"A47"	"B"	42	256
"A48"	"B"	42	236
"A49"	"B"	42	268
"A50"	"B"	42	253
"A51"	"B"	42	265
"A52"	"B"	42	238
"A53"	"B"	42	267
"A54"	"B"	42	261
"A55"	"B"	42	243
"A56"	"B"	42	276
"A57"	"B"	42	255
"A58"	"B"	42	264
"A59"	"B"	42	274
"A60"	"B"	42	266
"A1"	"A"	56	271
"A2"	"A"	56	290
"A3"	"A"	56	285
"A4"	"A"	56	308
