year	farmer	place	district	gen	yield	income
1901	McCarthy	Ballinacurra	Cork	Archer	180	180
1901	Hawkins	Whitegate	Cork	Archer	163	163
1901	Dwan	Thurles	CentralPlain	Archer	242	233
1901	Wolfe	Nenagh	CentralPlain	Archer	176	173
1902	McCarthy	Ballinacurra	Cork	Archer	198	173
1902	Hawkins	Whitegate	Cork	Archer	224	212
1902	Wolfe	Nenagh	CentralPlain	Archer	194	184
1902	Willington	Birr	CentralPlain	Archer	198	196
1902	Gorman	Enniscorthy	Wexford	Archer	181	182
1902	Nunn	Castlebridge	Wexford	Archer	179	178
1903	McCarthy	Ballinacurra	Cork	Archer	106	93
1903	Hawkins	Whitegate	Cork	Archer	140	141
1903	Wolfe	Nenagh	CentralPlain	Archer	130	109
1903	Willington	Birr	CentralPlain	Archer	157	149
1903	Gorman	Arnestown	Wexford	Archer	85	90
1903	Nunn	Castlebridge	Wexford	Archer	199	196
1903	Quinn	Carlingford	Louth	Archer	188	164
1903	Kearney	Greenore	Louth	Archer	179	172
1904	McCarthy	Ballinacurra	Cork	Archer	164	155
1904	Hawkins	Whitegate	Cork	Archer	171	167
1904	Wolfe	Nenagh	CentralPlain	Archer	211	209
1904	Willington	Birr	CentralPlain	Archer	179	177
1904	Kelly	Portarlington	CentralPlain	Archer	193	192
1904	Allardyce	Monasterevan	CentralPlain	Archer	167	161
1904	Roche	NewRoss	Wexford	Archer	130	116
1904	Nunn	Castlebridge	Wexford	Archer	146	148
1904	Kearney	Carlingford	Louth	Archer	128	127
1904	Segrave	Dunleer	Louth	Archer	193	189
1905	McCarthy	Ballinacurra	Cork	Archer	200	188
1905	Hawkins	Whitegate	Cork	Archer	187	188
1905	Wolfe	Nenagh	CentralPlain	Archer	230	214
1905	Willington	Birr	CentralPlain	Archer	235	234
1905	Luttrell	Monasterevan	CentralPlain	Archer	232	220
1905	Kelly	Portarlington	CentralPlain	Archer	193	179
1905	Matthews	Tullamore	CentralPlain	Archer	220	218
1905	Nunn	Castlebridge	Wexford	Archer	182	155
1905	Dooley	NewRoss	Wexford	Archer	208	200
1905	Kearney	Carlingford	Louth	Archer	230	192
1905	Segrave	Dunleer	Louth	Archer	231	231
1906	McCarthy	Ballinacurra	Cork	Archer	158	146
1906	Hawkins	Whitegate	Cork	Archer	169	152
1906	Wolfe	Nenagh	CentralPlain	Archer	188	174
