"gen"	"region"	"loc"	"yield"
"Bruce"	"Atlantic"	"L01"	4175
"Conquest"	"Atlantic"	"L01"	4151
"Laurier"	"Atlantic"	"L01"	4482
"Leger"	"Atlantic"	"L01"	4680
"T01"	"Atlantic"	"L01"	4085
"T02"	"Atlantic"	"L01"	3962
"T03"	"Atlantic"	"L01"	4189
"T04"	"Atlantic"	"L01"	3752
"T05"	"Atlantic"	"L01"	4211
"T06"	"Atlantic"	"L01"	3816
"T07"	"Atlantic"	"L01"	4721
"T08"	"Atlantic"	"L01"	4038
"T09"	"Atlantic"	"L01"	4298
"T10"	"Atlantic"	"L01"	4533
"T11"	"Atlantic"	"L01"	4698
"T12"	"Atlantic"	"L01"	4136
"T13"	"Atlantic"	"L01"	4054
"T14"	"Atlantic"	"L01"	4289
"T15"	"Atlantic"	"L01"	4221
"T16"	"Atlantic"	"L01"	3790
"T17"	"Atlantic"	"L01"	3957
"T18"	"Atlantic"	"L01"	4067
"T19"	"Atlantic"	"L01"	4124
"T20"	"Atlantic"	"L01"	4378
"T21"	"Atlantic"	"L01"	4217
"T22"	"Atlantic"	"L01"	4369
"T23"	"Atlantic"	"L01"	3746
"T24"	"Atlantic"	"L01"	3367
"T25"	"Atlantic"	"L01"	4197
"T26"	"Atlantic"	"L01"	4050
"T27"	"Atlantic"	"L01"	4359
"T28"	"Atlantic"	"L01"	4310
"T29"	"Atlantic"	"L01"	3854
"Bruce"	"Atlantic"	"L02"	3960
"Conquest"	"Atlantic"	"L02"	3436
"Laurier"	"Atlantic"	"L02"	4117
"Leger"	"Atlantic"	"L02"	4159
"T01"	"Atlantic"	"L02"	3732
"T02"	"Atlantic"	"L02"	3401
"T03"	"Atlantic"	"L02"	3836
"T04"	"Atlantic"	"L02"	3384
"T05"	"Atlantic"	"L02"	4097
"T06"	"Atlantic"	"L02"	3668
"T07"	"Atlantic"	"L02"	3911
"T08"	"Atlantic"	"L02"	3810
"T09"	"Atlantic"	"L02"	3825
"T10"	"Atlantic"	"L02"	3848
"T11"	"Atlantic"	"L02"	4037
"T12"	"Atlantic"	"L02"	3869
"T13"	"Atlantic"	"L02"	4064
"T14"	"Atlantic"	"L02"	4241
"T15"	"Atlantic"	"L02"	3751
"T16"	"Atlantic"	"L02"	2906
"T17"	"Atlantic"	"L02"	4172
