3.49,3.2,4.28,3.63,3.77,4.9,5.67,5.81,6.75,4.85
4.14,5.24,5.78,7.46,6.12,5.02,5.07,7.17,3.29,5.47
6.69,5.1,7.03,6.63,4.39,5.41,4.08,5.9,5.22,4.99
4.28,5.73,5.02,3.77,4.11,1.76,6.49,6.24,6.04,6.97
6.18,5.02,6.69,6.58,5.13,5.95,7.37,5.95,5.61,6.24
4.99,5.78,6.78,5.02,2.47,4.05,4.54,4.93,5.98,7.48
8.7,5.9,6.32,7,3.43,4.59,3.23,6.52,2.78,6.1
4.56,3.77,4.31,7.97,6.21,7.26,7.85,3.03,4.68,5.36
7,9.19,5.05,6.41,5.64,4.59,10.21,3.37,6.24,5.98
7.06,5.7,4.05,4.68,9.64,3.94,3.91,2.92,4,4.22
1.64,3.43,2.3,5.39,7.37,3.88,3.71,1.28,7.71,2.84
4,3.54,4.2,5.73,5.13,5.39,4.48,4.31,3.77,4.17
3.57,5.61,2.27,4.05,5.5,6.24,5.61,5.36,3.69,3.09
3.8,6.52,8.39,6.97,4.48,4.25,4.28,4.62,4.28,3.23
4.34,6.01,3.12,6.21,3.26,4.82,4.65,5.67,4.28,1.42
3.68,6.49,3.4,3.52,5.61,4.39,6.83,3.18,4.79,3.12
2.55,3.8,3.09,5.61,5.5,4.11,6.95,8.45,6.46,5.58
4,4.79,3.63,8.9,5.44,4.68,7,4.11,9.04,4.62
7.6,3.43,3.66,7.37,7.03,6.29,5.53,6.32,6.32,3.49
7.4,3.37,6.01,4.76,4.79,5.36,3.88,3.06,6.72,8.08
4.34,3.54,4.51,5.5,5.19,5.67,4.62,6.12,6.61,3.57
4.48,4.08,4.22,4.34,4.17,4.03,6.72,6.27,4.17,2.81
5.9,5.07,2.27,4.37,3.52,6.1,2.55,4.28,4.85,4.73
4.03,8.56,5.24,6.32,3.83,6.95,7.82,7.31,4.42,3.26
3.88,6.24,3.23,4.85,9.61,9.56,10.5,4.14,5.1,2.72
5.05,5.53,3.26,5.53,3.6,4.93,1.62,4.54,4.2,5.67
