261,318,299,299,325,332,352,333,307,327,309,317,418,406,355,274
309,365,372,342,369,309,343,393,424,427,463,476,402,416,378,396
291,382,356,248,349,289,331,363,386,424,453,425,398,316,374,327
329,355,320,277,307,272,336,343,323,356,431,423,363,377,293,345
333,415,315,258,343,299,423,335,397,402,355,357,379,331,354,353
306,381,285,333,346,340,317,290,328,342,371,343,362,333,349,354
352,362,320,353,310,364,377,388,409,454,393,455,398,409,384,357
298,369,355,342,380,300,371,402,353,97,340,419,390,347,381,356
327,364,295,281,330,346,341,283,370,311,388,360,359,360,350,393
251,339,336,309,270,348,288,323,366,339,402,378,409,384,370,352
278,318,317,277,281,289,249,329,281,292,373,343,390,358,362,348
307,299,356,289,320,310,345,320,304,235,332,337,224,309,313,348
270,265,361,337,328,301,269,265,289,243,284,298,303,270,291,276
270,276,254,289,284,246,249,299,283,239,305,290,291,261,295,310
308,302,257,271,291,307,268,330,310,290,236,230,248,276,248,282
285,235,276,235,269,308,282,264,222,216,207,208,181,294,213,211
