x	oa	61.375	83.0
x	2me	68.75	130.0
x	2sl	64.25	100.0
x	ob	65.5	96.0
w	2sl	79.625	130.5
w	oa	79.25	122.0
w	ob	83.5	140.5
w	1se	80.75	160.5
x	1se	77.5	121.0
x	1me	65.375	107.5
x	1ml	75.125	106.0
x	1sl	80.5	133.5
w	2me	88.5	159.0
w	2ml	82.625	137.5
w	1me	89.125	165.0
w	1ml	86.625	146.0
x	oc	68.125	93.5
x	2ml	65.125	101.5
x	od	72.125	98.5
x	2se	83.0	161.0
w	oc	83.25	121.5
w	1sl	93.125	191.0
w	od	84.875	166.5
w	2se	86.625	185.0
y	2se	83.25	142.0
y	2me	82.875	133.0
y	oa	75.5	102.0
y	1ml	85.625	132.5
z	oa	91.5	149.5
z	2se	64.50	161.5
z	2sl	88.75	180.5
z	2ml	91.25	165.5
y	ob	74.875	104.0
y	1sl	67.75	100.5
y	1se	85.125	130.5
y	1me	85.75	149.0
z	1ml	89.25	127.5
z	ob	86.25	144.0
z	oc	88.75	155.0
z	1sl	88.875	158.0
y	2ml	74.25	103.5
y	oc	62.75	99.0
y	2sl	87.125	129.5
y	od	86.125	138.0
z	2me	84.125	170.0
z	od	82.5	139.5
z	1me	86.0	190.5
z	1se	80.5	158.5
k	2se	82.0	116.0
k	2ml	78.125	114.5
k	1se	88.25	127.5
k	2me	83.875	181.0
j	2sl	74.375	129.0
j	2se	82.875	196.5
j	2me	78.25	200.0
j	oa	84.625	144.0
k	oa	78.625	110.0
k	ob	79.0	115.5
k	1ml	87.375	119.0
k	oc	83.875	133.5
j	1me	76.5	147.0
j	2ml	80.5	133.0
j	ob	84.5	145.5
j	1ml	87.125	154.5
k	2sl	79.125	117.0
k	1me	86.5	150.0
k	od	77.75	113.0
k	1sl	88.125	140.0
j	oc	87.875	121.5
j	od	79.625	136.5
j	1se	76.875	165.5
j	1sl	79.625	142.5
l	2me	81.875	138.0
l	1me	79.375	128.0
l	2ml	93.125	138.0
l	2sl	87.125	153.0
m	1se	90.75	147.5
m	oa	81.25	126.0
m	ob	80.5	128.5
m	1sl	80.75	154.5
l	1sl	67.875	100.0
l	oa	68.875	100.5
l	ob	79.5	113.0
l	1ml	87.625	141.5
m	1me	93.5	142.0
m	2se	85.375	181.5
m	2ml	93.375	164.0
m	oc	89.625	157.0
l	1se	69.0	108.0
l	oc	63.25	90.5
l	2se	82.125	175.5
l	od	83.75	140.5
m	od	84.75	122.0
m	2me	83.875	192.5
m	2sl	89.0	188.0
m	1ml	93.25	162.0

