Trials	Rows	Columns	Replications	Group1	Group2	Hybrids	Hybrid_Checks	GY
1	1	1	1	3	10	30	1	6973.58
1	1	2	1	4	10	39	1	6994.97
1	1	3	1	2	6	16	1	7891.76
1	1	4	1	2	11	21	1	5987.77
1	1	5	1	5	10	47	1	6678.39
1	1	6	1	1	6	5	1	7248.97
1	1	7	2	8	12	67	1	5416.27
1	1	8	2	7	10	60	1	6622.53
1	1	9	2	2	12	22	1	7770.93
1	1	10	2	5	10	47	1	6093.59
1	1	11	2	6	9	53	1	6205.89
1	1	12	2	3	10	30	1	8111.88
1	1	13	3	10	11	73	1	9162.20
1	1	14	3	9	11	70	1	9456.70
1	1	15	3	6	8	52	1	6366.48
1	1	16	3	3	5	25	1	6408.15
1	1	17	3	1	7	6	1	9118.89
1	1	18	3	6	13	57	1	6717.91
1	2	1	1	1	12	11	1	7683.77
1	2	2	1	2	4	14	1	5872.92
1	2	3	1	NA	NA	NA	4	5586.41
1	2	4	1	6	12	56	1	6365.69
1	2	5	1	1	11	10	1	7005.13
1	2	6	1	3	7	27	1	7985.31
1	2	7	2	9	12	71	1	8344.62
1	2	8	2	6	7	51	1	5400.46
1	2	9	2	1	2	1	1	8347.15
1	2	10	2	6	13	57	1	7755.33
1	2	11	2	1	3	2	1	8664.26
1	2	12	2	10	13	75	1	7155.56
1	2	13	3	3	13	33	1	5893.77
1	2	14	3	6	7	51	1	7142.07
1	2	15	3	7	10	60	1	8269.43
1	2	16	3	3	12	32	1	8004.85
1	2	17	3	8	12	67	1	8711.49
1	2	18	3	6	11	55	1	6782.72
1	3	1	1	4	13	42	1	7720.31
1	3	2	1	11	13	77	1	5644.13
1	3	3	1	2	13	23	1	6521.44
1	3	4	1	1	2	1	1	8425.93
1	3	5	1	NA	NA	NA	5	9096.90
1	3	6	1	7	13	63	1	8117.83
1	3	7	2	3	4	24	1	6190.89
1	3	8	2	7	11	61	1	9126.82
1	3	9	2	4	7	36	1	8166.34
1	3	10	2	1	9	8	1	6149.74
1	3	11	2	6	11	55	1	6528.74
1	3	12	2	3	9	29	1	7389.34
1	3	13	3	2	4	14	1	6801.89
1	3	14	3	7	9	59	1	8290.60
1	3	15	3	1	5	4	1	7875.35
1	3	16	3	5	9	46	1	8029.89
1	3	17	3	7	8	58	1	8392.32
1	3	18	3	2	12	22	1	8872.49
1	4	1	1	3	9	29	1	5890.19
1	4	2	1	8	10	65	1	8078.16
1	4	3	1	5	13	50	1	7347.22
1	4	4	1	4	5	34	1	6597.02
1	4	5	1	3	5	25	1	5742.68
1	4	6	1	3	13	33	1	6887.71
1	4	7	2	2	10	20	1	9512.07
1	4	8	2	2	13	23	1	8054.66
1	4	9	2	4	5	34	1	7933.91
1	4	10	2	2	5	15	1	7118.75
1	4	11	2	4	12	41	1	4976.03
1	4	12	2	11	12	76	1	8255.75
1	4	13	3	4	10	39	1	9064.06
1	4	14	3	4	11	40	1	6719.82
