15.84,14.71,19.91,24.89,9.05,25.79,19.46,17.65,7.24,11.31,8.60,8.37,21.95,29.41,13.57,4.07,12.90,13.57,14.48,11.31,15.38,16.74,19.91,19.46,20.36,23.53
21.49,22.17,18.10,20.81,14.93,26.24,16.74,18.55,12.90,13.35,3.17,11.99,18.10,15.38,16.74,9.95,21.72,14.93,11.31,17.19,19.46,23.53,27.15,21.27,20.36,14.03
15.38,25.34,16.29,16.74,12.22,16.74,14.48,22.40,12.22,3.17,11.54,10.18,10.63,21.72,3.62,7.24,11.76,14.93,9.95,12.44,25.34,19.00,18.55,27.15,16.06,21.27
17.65,16.29,21.72,22.40,17.65,23.08,19.46,15.84,11.31,4.52,20.36,8.60,7.47,23.53,9.50,12.22,22.17,25.34,16.74,11.76,18.10,25.34,24.43,17.65,20.81,20.36
12.67,17.65,22.17,19.91,16.74,16.74,11.54,16.29,13.12,10.41,8.37,16.74,8.14,17.19,20.81,9.73,10.41,18.10,12.67,16.29,19.46,17.65,18.55,19.23,12.67,12.90
14.48,22.62,11.09,24.43,18.10,20.81,21.27,30.77,8.60,7.24,20.59,16.29,11.31,9.05,15.84,10.41,16.29,19.46,17.87,20.36,15.84,14.48,18.10,20.81,21.72,16.74
18.55,18.78,24.43,22.85,19.91,20.36,19.00,18.55,17.42,19.00,7.69,13.12,14.25,15.38,13.57,12.22,19.00,14.93,21.27,14.48,19.23,12.22,17.19,8.82,18.10,18.78
23.98,28.96,24.89,18.78,19.91,18.55,23.53,21.27,17.87,10.86,9.05,11.76,5.43,15.38,10.86,7.24,15.38,16.29,24.43,26.24,18.10,25.34,19.00,19.00,14.93,5.43
16.06,16.97,24.89,22.85,15.38,21.27,14.03,19.46,10.86,27.60,7.05,16.74,24.43,11.54,23.98,10.86,18.55,14.03,21.27,20.36,24.87,25.79,20.81,32.58,16.74,32.13
20.36,19.00,28.51,23.30,21.72,22.17,15.38,27.60,17.65,19.46,5.88,33.94,9.05,19.00,13.57,10.86,19.00,26.70,12.67,23.98,22.85,28.51,15.84,21.27,8.14,23.53
21.49,24.43,23.53,26.24,18.55,22.62,21.27,18.55,4.07,19.91,19.46,13.80,17.65,28.05,22.62,23.08,23.08,18.55,21.27,27.60,8.82,23.53,23.98,21.72,17.65,25.79
20.14,13.12,14.48,25.79,22.62,23.08,18.55,27.15,15.38,25.11,23.76,23.53,14.48,26.70,24.89,20.36,17.65,17.65,19.00,19.91,24.43,22.17,19.00,20.81,17.19,14.48
16.74,24.43,19.91,25.79,22.62,13.57,23.08,23.76,9.50,12.90,28.05,27.83,18.55,13.12,28.96,20.36,16.74,16.74,23.98,37.56,24.43,27.15,31.67,32.13,14.48,12.44
19.91,21.72,16.74,26.24,11.09,14.03,8.82,18.55,15.16,16.06,30.09,20.81,25.34,41.63,34.39,26.92,23.08,18.10,18.55,20.36,22.17,18.10,19.91,15.38,17.19,23.08
23.08,22.62,21.49,23.08,22.62,7.92,16.97,18.10,11.31,18.10,19.46,19.00,26.70,38.46,23.53,20.36,27.15,18.10,26.70,25.34,29.19,27.15,18.55,36.20,18.55,20.14
14.48,3.17,27.15,26.02,18.10,19.23,18.55,19.46,9.95,22.62,21.72,19.00,31.67,29.86,23.53,25.79,23.08,21.72,17.65,25.34,26.02,29.41,19.00,23.98,35.75,26.24
16.29,24.66,23.98,22.62,10.18,13.12,12.44,23.98,11.76,19.46,22.40,21.72,22.62,40.27,17.65,26.70,29.41,25.79,20.81,29.86,18.10,19.00,25.79,28.96,22.62,20.36
11.99,12.67,13.57,16.29,15.16,13.57,13.12,12.67,13.35,15.84,14.03,22.62,22.62,29.86,31.67,21.27,19.00,24.89,23.08,21.72,27.15,17.65,15.84,22.62,21.27,21.95
