10,55,53,56,63,66,58,53,57,61,53
11,59,62,56,51,61,75,57,60,55,74
12,55,61,62,55,64,59,60,65,66,70
13,74,44,60,63,56,51,63,55,58,68
14,55,57,63,67,61,64,65,57,55,58
15,62,62,54,59,61,56,54,68,57,55
16,50,53,58,57,58,56,68,57,61,56
17,61,58,61,50,60,61,54,63,69,53
18,59,50,55,51,75,57,63,95,78,60
19,64,62,55,53,60,55,56,71,60,57
20,58,93,60,60,57,63,60,53,63,54
21,56,57,58,62,55,57,63,53,55,64
22,55,51,61,52,61,55,61,51,63,55
23,60,64,57,58,66,59,57,61,56,63
24,98,63,56,62,67,62,52,50,57,66
25,64,66,64,65,55,67,62,59,54,51
26,52,60,57,65,65,57,65,54,60,64
27,64,61,69,61,54,55,60,62,54,60
28,67,61,59,60,61,62,71,56,56,54
29,65,65,63,63,60,55,54,56,55,60
30,65,60,66,60,56,70,60,54,64,63
31,58,64,58,64,103,65,64,67,51,60
1,64,63,64,55,57,64,55,63,56,49
2,66,57,70,59,55,54,62,61,59,69
