359,305,313,323,328,325,313,313,281,328,309,315
366,318,346,321,308,304,291,239,308,345,316,324
344,326,326,304,290,301,305,298,290,350,389,341
349,321,328,336,293,309,315,283,288,294,343,324
303,327,338,321,290,336,332,298,289,311,361,318
320,321,321,290,303,301,294,280,290,330,348,320
306,298,308,304,316,314,296,311,308,316,329,316
293,302,315,314,304,299,325,311,305,303,294,291
288,321,325,318,311,324,313,284,283,283,301,325
284,320,314,298,315,327,313,298,284,283,330,305
284,320,320,321,321,303,305,308,319,316,363,320
288,307,329,331,313,315,300,309,316,306,310,311
299,324,306,326,299,289,296,304,284,294,303,328
314,342,308,324,304,304,306,311,316,351,333,307
317,339,329,327,305,298,301,294,283,310,306,290
301,321,303,298,298,286,306,323,283,316,314,307
297,320,329,351,292,298,320,311,336,336,321,336
309,338,304,341,302,305,353,305,333,356,338,334
320,348,344,326,296,299,303,304,298,326,337,309
309,331,354,320,290,388,311,302,311,316,357,315
336,339,353,313,293,286,323,305,331,333,296,309
349,343,335,308,291,300,334,308,323,385,324,357
354,314,304,299,306,309,302,296,269,328,308,335
319,328,326,322,314,304,315,315,314,308,318,321
306,328,306,302,318,288,324,332,303,398,303,339
311,337,332,311,316,299,327,314,281,319,330,343
323,341,309,322,311,304,311,308,301,320,334,357
333,321,306,321,323,288,347,329,293,308,321,339
328,308,336,351,327,309,319,314,274,313,316,307
308,337,319,322,316,303,330,318,285,313,325,318
341,340,313,328,293,329,318,320,303,319,311,293
350,336,330,332,331,319,325,319,331,335,302,290
323,320,314,341,311,301,322,313,318,328,313,289
313,337,338,346,314,323,334,329,306,268,313,295
307,306,353,339,289,298,309,309,270,313,313,299
324,334,343,383,319,333,315,295,281,354,311,311
333,325,328,356,310,308,278,263,263,316,309,300
421,334,326,373,313,301,361,334,326,339,339,350
429,336,344,349,298,304,342,306,323,313,327,302
386,337,316,325,319,319,341,319,318,291,308,293
