gen,check,block,yield
Sibley,Y,B1,4098
Sibley,Y,B1,
Hardin,Y,B1,4020
Weber,Y,B1,4440
Kato,Y,B1,3860
T.Egg,N,B1,2169
Harlon,N,B1,3250
Rampage,N,B1,3807
Steele,N,B1,4068
Vinton,N,B1,3871
Vinton81,N,B1,3838
BSR101,N,B1,
Norsoy,N,B1,
W.Black,N,B1,
Mandarin,N,B1,
Hark,N,B1,
Coles,N,B1,
Hodgson78,N,B1,
Lakota,N,B1,
Man.507,N,B1,
Bert,N,B1,
Leslie,N,B1,
Sibley,Y,B2,4060
Sibley,Y,B2,
Hardin,Y,B2,4414
Weber,Y,B2,3835
Kato,Y,B2,3865
T.Egg,N,B2,
Harlon,N,B2,
Rampage,N,B2,
Steele,N,B2,
Vinton,N,B2,
Vinton81,N,B2,
BSR101,N,B2,4244
Norsoy,N,B2,3290
W.Black,N,B2,3019
Mandarin,N,B2,3506
Hark,N,B2,4384
Coles,N,B2,4148
Hodgson78,N,B2,
Lakota,N,B2,
Man.507,N,B2,
Bert,N,B2,
Leslie,N,B2,
Sibley,Y,B3,4283
Sibley,Y,B3,3952
Hardin,Y,B3,3571
Weber,Y,B3,4154
Kato,Y,B3,3674
T.Egg,N,B3,
Harlon,N,B3,
Rampage,N,B3,
Steele,N,B3,
Vinton,N,B3,
Vinton81,N,B3,
BSR101,N,B3,
Norsoy,N,B3,
W.Black,N,B3,
Mandarin,N,B3,
Hark,N,B3,
Coles,N,B3,
Hodgson78,N,B3,4167
Lakota,N,B3,4023
Man.507,N,B3,2435
Bert,N,B3,4595
Leslie,N,B3,3957
