Broadbalk wheat experiment. ,,,"Rothamsted Research, Harpenden, Herts. AL5 2JQ, UK",,,,,,,,,,
Annual yields (bushels/acre of dressed wheat grain) used by R.A. Fisher in his 1921 paper 'Studies on Crop Variation'. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLOT,2b,3&4,5,6,7,8,10,11,12,13,14,17,18
YEAR,,,,,,,,,,,,,
1852,27.62,13.59,16.91,20.81,26.78,27.5,21.97,23.28,24.38,23.97,24.75,14.34,24.94
1853,19.13,6.57,10.12,18.03,23.59,23.44,12.72,18.09,22.91,22.97,22.34,8.69,19.28
1854,41.12,22.5,24.19,34.13,45.47,48.53,36.78,43.81,45.59,44.5,44.72,23.84,44.16
1855,34.63,17.82,18.31,28,33,31.47,24.03,21.69,31.78,30.75,31.59,18.03,33.19
1856,36.25,15.44,19.56,27.72,36.91,39.03,25.94,31.25,33.38,31.63,34.62,17.94,31
1857,41.25,21.22,23.75,35.34,44.84,48.28,31.81,39.09,43.69,43.12,43.31,26.31,40.56
1858,38.75,18.57,18.97,28.84,39.06,41.88,25.31,31.97,37.56,37.19,38.06,21.81,33.56
1859,36.25,18.79,20.59,29.88,34.66,34.5,22.22,27.34,34.75,34.53,34.5,20.53,32.66
1860,32.25,13.69,15.91,21.97,27.72,31.22,16.87,22.37,27.34,26.66,27.22,15.81,25.22
1861,34.87,11.63,15.41,27.56,34.94,35.03,14.41,24.31,32.91,34.16,33.5,18.72,32.87
1862,38.38,16.32,17.78,28.16,35.88,39.44,23.94,26.88,33.75,32.31,31.25,18.53,27.72
1863,44,18.75,19.69,39.56,53.66,55.69,41.34,45.75,53.97,53.28,53.94,21.25,46.28
1864,40,16.78,16.88,31.09,45.78,49.88,34.13,36.44,44.56,43.19,41.5,17.69,36.19
1865,37.12,14.03,14.19,24.91,40.22,43.59,27.81,27.31,34.56,37.12,36.56,17.03,31.44
1866,32.63,12.75,13.25,20.47,29.91,32.13,27.37,28,28.28,24.75,27.97,12.69,26.41
1867,27.5,9.06,9.25,15.75,22.16,30.41,18.75,22.09,24.53,23.81,22.75,10.78,23.59
1868,41.75,17.07,17.59,28.34,39.84,46.5,26.22,33.62,39.87,39.22,41.69,18.69,37.41
1869,38.25,14.53,15.72,21.59,28.41,34.75,19.69,20.38,27.25,27.28,27.69,16.12,22.94
1870,36.5,15.35,18.69,30.47,40.53,45.22,22.44,25.44,35.25,36.97,35.69,19,34.31
1871,39,9.84,11.87,16.97,22.25,27.69,10.03,9.87,21.06,30.16,24.25,15.94,28.41
1872,32.37,11.03,12.78,20.5,29.69,35.56,18.34,27.44,29.25,29.91,30.31,12.94,25.91
1873,26.75,11.94,12.69,15.88,21.94,27.5,20.13,19.44,22.91,23.44,24.09,11.72,20.31
1874,39.25,11.88,13,25.78,39.44,40.5,26.22,29.25,39.47,37.09,36.59,13.94,33.22
1875,28.88,8.13,9.22,16.31,25.88,29.91,13.66,15.94,25.25,27.06,26.28,11.66,25.56
1876,23.87,8.56,10.5,15.69,23.47,29.59,13.28,13.44,19.16,25.16,22.06,10.38,26.44
1877,24.13,9.35,11.65,14.53,19.88,24.72,17.72,16.81,17.78,18.25,18.53,9.94,12.59
1878,28.25,12.41,14.69,22.72,31.25,38.13,28.59,29.63,29.19,29.47,32.06,15.22,29
1879,16,4.57,5.65,10.5,16.25,20.56,4.28,11.12,14.03,16.03,16.22,3.12,20.34
1880,38.37,12.13,17.69,26.91,34.47,35.28,12.03,24.5,29.31,32.97,30.97,14.97,32.78
1881,30.25,13.16,12.69,21.66,26.66,30.66,18.97,21,23.72,28.22,27.41,13.19,31.97
