2.00, 2.00, 2.00, 2.10, 1.40, 2.00, 1.90, 1.65, 1.65, 1.80, 2.10, 2.30, 1.50, 1.60, 1.70, 1.80, 1.70, 1.80, 1.60, 1.50
1.85, 1.90, 1.70, 2.10, 1.80, 1.95, 1.80, 1.80, 1.90, 1.75, 1.60, 1.60, 1.80, 1.90, 1.75, 1.70, 1.70, 1.60, 1.50, 1.65
1.65, 1.90, 1.70, 1.60, 1.80, 1.90, 1.90, 1.90, 1.80, 1.80, 1.60, 1.85, 1.90, 1.50, 1.65, 1.80, 1.80, 1.60, 1.50, 1.70
2.20, 1.95, 1.70, 1.60, 1.80, 2.00, 1.70, 1.90, 1.40, 1.80, 1.65, 1.70, 1.70, 1.55, 1.75, 1.60, 1.60, 1.70, 1.90, 1.80
1.70, 1.20, 1.45, 1.70, 1.70, 1.50, 1.55, 1.70, 1.70, 1.70, 1.85, 1.55, 1.95, 1.50, 1.70, 1.40, 1.60, 2.00, 1.50, 1.60
1.50, 1.90, 1.55, 1.40, 2.00, 1.90, 1.75, 1.90, 1.60, 1.50, 1.70, 1.45, 1.30, 1.90, 1.65, 1.40, 1.70, 1.90, 1.70, 1.25
2.00, 2.05, 1.80, 1.60, 1.55, 1.90, 1.75, 1.70, 1.75, 1.80, 1.60, 2.00, 1.90, 1.50, 1.80, 1.40, 1.50, 1.70, 1.55, 1.80
1.70, 1.90, 1.15, 1.85, 1.90, 2.00, 1.50, 1.90, 2.10, 1.60, 1.60, 1.90, 1.70, 1.80, 1.95, 1.75, 1.30, 1.80, 1.60, 1.40
1.65, 1.80, 1.70, 1.65, 1.00, 1.65, 1.90, 1.80, 1.65, 1.75, 1.75, 1.60, 1.30, 1.70, 1.85, 1.60, 1.90, 1.50, 1.50, 1.90
1.65, 1.60, 1.80, 2.05, 1.75, 1.80, 1.85, 1.75, 2.05, 2.00, 1.85, 1.90, 1.60, 1.70, 1.40, 1.85, 1.90, 1.60, 1.70, 1.80
1.80, 2.10, 1.70, 2.00, 1.70, 2.00, 1.60, 1.65, 1.65, 1.95, 1.50, 1.90, 1.80, 1.95, 1.50, 1.80, 1.50, 1.80, 1.85, 1.80
2.10, 1.30, 1.50, 1.80, 1.70, 1.95, 1.90, 1.75, 1.65, 1.50, 1.60, 1.60, 1.90, 1.60, 1.95, 1.70, 2.15, 1.70, 1.80, 1.90
1.80, 1.65, 1.70, 1.40, 2.00, 1.75, 1.70, 1.50, 1.65, 2.05, 1.95, 1.70, 1.65, 1.50, 1.60, 1.50, 1.80, 1.50, 1.90, 1.50
1.85, 1.90, 2.00, 1.50, 1.60, 2.10, 1.40, 1.80, 1.85, 1.95, 1.95, 1.45, 1.65, 1.75, 1.80, 1.90, 1.50, 1.80, 1.30, 1.60
2.25, 1.60, 1.30, 1.60, 1.75, 2.00, 1.90, 1.80, 1.35, 1.90, 1.40, 1.80, 1.75, 1.15, 1.60, 1.60, 1.70, 2.00, 1.50, 1.70
2.00, 1.80, 1.85, 1.50, 1.60, 1.50, 1.60, 1.60, 1.90, 1.90, 1.70, 1.80, 1.60, 1.80, 1.85, 1.80, 1.65, 1.70, 1.80, 1.85
1.60, 2.00, 1.85, 1.40, 1.60, 1.75, 2.10, 1.35, 1.75, 2.05, 1.80, 1.80, 2.10, 1.70, 1.75, 1.60, 1.70, 1.50, 1.60, 1.90
1.70, 1.50, 1.55, 1.90, 1.40, 2.20, 1.75, 1.80, 1.75, 1.75, 1.80, 2.00, 1.80, 1.60, 1.65, 1.70, 1.70, 1.70, 2.00, 1.90
1.80, 1.60, 1.70, 2.10, 1.30, 1.80, 1.70, 2.00, 1.55, 1.90, 1.80, 1.85, 1.60, 1.50, 2.20, 1.40, 1.65, 1.80, 1.70, 1.55
1.95, 2.10, 1.70, 1.60, 1.90, 1.90, 1.55, 1.70, 1.60, 1.80, 1.75, 2.10, 1.90, 1.40, 1.70, 1.80, 1.60, 1.75, 1.60, 2.00
