12.0	11.6	14.2	13.0	11.4	11.4	13.8	12.0
15.0	13.8	14.0	15.4	11.6	13.2	13.8	12.4
13.0	10.4	16.0	14.8	12.0	15.0	13.0	13.6
12.4	13.2	16.0	16.0	11.6	12.4	12.0	12.8
12.6	10.0	13.4	14.6	14.0	17.0	14.0	15.0
9.8	11.2	15.4	14.4	11.4	15.0	13.2	14.2
11.4	10.0	15.0	15.4	14.4	14.0	15.0	15.8
11.2	10.0	16.6	13.4	12.6	16.6	15.0	13.8
12.4	9.0	14.6	15.2	14.2	13.2	14.6	13.2
10.0	9.6	15.6	15.0	15.0	13.2	14.6	12.0
11.0	8.8	14.6	13.0	,6.0	16.4	15.0	12.2
12.4	7.0	14.4	15.0	14.6	14.8	14.0	14.2
10.0	8.2	12.0	13.2	12.0	17.4	16.2	14.0
10.4	8.2	15.2	15.0	15.0	17.4	13.4	12.8
12.2	6.8	15.0	12.0	14.4	17.0	15.0	13.8
11.0	8.4	17.4	12.2	14.0	15.0	14.8	12.4
13.8	11.6	16.0	14.4	16.0	15.4	13.4	12.0
11.2	8.4	15.0	13.4	16.2	15.0	12.2	12.4
13.0	7.6	14.0	13.8	17.0	14.2	9.6	13.0
13.2	8.2	14.0	14.8	15.4	12.8	13.2	12.8
14.6	7.0	13.6	15.0	14.0	15.0	14.6	13.0
14.0	7.8	14.2	13.2	16.0	14.0	14.2	14.4
13.4	11.4	14.0	14.4	17.4	14.0	13.0	15.2
11.6	9.4	12.2	15.0	17.0	13.6	11.0	14.2
12.6	12.4	13.4	14.0	20.6	16.2	14.0	14.6
10.0	12.6	14.8	14.0	15.6	13.6	12.4	16.0
11.0	10.4	13.6	15.0	13.4	14.8	9.4	14.6
14.0	11.0	13.2	15.6	17.8	15.0	11.0	14.0
11.8	12.6	14.0	15.0	21.0	14.4	12.6	15.2
12.6	12.2	15.0	16.2	20.0	16.0	10.0	13.8
12.4	11.0	14.0	17.0	20.6	14.4	11.0	11.8
12.4	13.2	15.8	15.0	19.0	18.4	11.0	11.0
13.4	14.2	16.0	13.8	15.4	17.6	12.4	11.2
13.8	11.2	15.2	18.0	18.2	15.4	11.8	13.6
14.0	13.4	16.6	14.6	18.8	17.6	10.8	12.4
12.0	13.6	15.6	16.6	19.2	15.0	11.2	10.6
13.0	12.2	15.0	15.4	20.8	16.4	10.6	11.0
13.6	14.6	15.0	16.4	21.0	17.2	10.4	11.0
13.6	12.4	15.2	14.8	17.0	12.4	12.0	10.6
11.4	13.4	15.0	15.4	18.0	16.0	10.0	11.0
14.4	12.6	13.6	15.0	15.2	14.0	10.2	11.0
14.4	13.6	14.0	16.8	17.0	14.0	12.4	13.0
13.0	12.2	18.0	17.0	15.2	15.4	12.0	11.4
14.2	15.0	17.0	14.8	16.2	14.0	12.4	13.0
14.0	13.8	14.4	13.8	15.0	15.0	11.8	13.0	
13.0	13.6	17.0	10.0	14.6	14.0	11.0	12.0
14.0	15.6	14.4	15.0	15:0	13.6	13.4	13.0
15.6	15.4	15.4	15.4	11.4	14.6	11.6	15.2
15.0	15.6	15.4	14.2	15.6	15.0	10.6	11.6
16.0	17.0	15.8	14.0	15.6	14.0	10.6	12.0
11.6	13.2	16.4	12.6	10.0	14.6	12.2	14.4
15.2	14.0	15.4	15.0	15.0	15.0	14.0	10.0
14.8	1.40	14.4	13.4	14.2	12.4	11.4	11.0
14.0	14.2	12.4	13.4	14.2	12.8	8.2	9.4
13.8	12.4	12.4	15.4	14.6	13.0

