Longitude,Latitude,Flow,Time,Cycles,Distance,Swath,Moisture,Field,Load_id,Load_name,Crop,Gps,Altitude,Serial
-93.97842,43.927265,16.54,1004549898,3,116,360,18.5,F16_GARTNER,2,45T5,Corn,7,1030.58,2000110154
-93.978421,43.927228,22.52,1004549901,3,159,360,16.7,F16_GARTNER,2,45T5,Corn,7,1030.58,2000110154
-93.978422,43.927184,27.01,1004549904,3,169,360,17.2,F16_GARTNER,2,45T5,Corn,7,1029.92,2000110154
-93.978422,43.927131,30.24,1004549907,3,221,360,17.2,F16_GARTNER,2,45T5,Corn,7,1029.92,2000110154
-93.97842,43.927076,30.95,1004549910,3,234,360,17.3,F16_GARTNER,2,45T5,Corn,7,1029.59,2000110154
-93.97842,43.927022,33.57,1004549913,3,227,360,17.5,F16_GARTNER,2,45T5,Corn,7,1029.59,2000110154
-93.978419,43.926966,32.78,1004549916,3,240,360,17.9,F16_GARTNER,2,45T5,Corn,7,1029.59,2000110154
-93.978417,43.926911,36.15,1004549919,3,242,360,17.5,F16_GARTNER,2,45T5,Corn,7,1029.59,2000110154
-93.978415,43.926856,30.83,1004549922,3,239,360,17.3,F16_GARTNER,2,45T5,Corn,7,1029.26,2000110154
-93.978417,43.9268,31.53,1004549925,3,242,360,17.2,F16_GARTNER,2,45T5,Corn,7,1029.26,2000110154
-93.978415,43.926746,36.23,1004549928,3,233,360,17.4,F16_GARTNER,2,45T5,Corn,7,1029.59,2000110154
-93.978414,43.92669,37.62,1004549931,3,248,360,17.3,F16_GARTNER,2,45T5,Corn,7,1029.26,2000110154
-93.978412,43.926634,36.42,1004549934,3,243,360,17.5,F16_GARTNER,2,45T5,Corn,7,1028.94,2000110154
-93.978411,43.926579,36.48,1004549937,3,244,360,17.5,F16_GARTNER,2,45T5,Corn,7,1028.94,2000110154
-93.978411,43.926524,36.25,1004549940,3,240,360,17.6,F16_GARTNER,2,45T5,Corn,7,1028.94,2000110154
-93.978411,43.926469,40.19,1004549943,3,239,360,17.3,F16_GARTNER,2,45T5,Corn,7,1028.94,2000110154
-93.978408,43.926414,38.63,1004549946,3,236,360,17.1,F16_GARTNER,2,45T5,Corn,7,1028.94,2000110154
-93.978409,43.926359,39.85,1004549949,3,239,360,17.2,F16_GARTNER,2,45T5,Corn,7,1028.94,2000110154
-93.978407,43.926304,39.59,1004549952,3,239,360,17.3,F16_GARTNER,2,45T5,Corn,7,1028.94,2000110154
-93.978406,43.926249,38.94,1004549955,3,237,360,17.4,F16_GARTNER,2,45T5,Corn,7,1029.26,2000110154
-93.978404,43.926195,40.82,1004549958,3,232,360,17.4,F16_GARTNER,2,45T5,Corn,7,1029.26,2000110154
-93.978403,43.92614,37.17,1004549961,3,233,360,17.6,F16_GARTNER,2,45T5,Corn,7,1029.92,2000110154
-93.978402,43.926086,42.67,1004549964,3,238,360,16.9,F16_GARTNER,2,45T5,Corn,7,1030.25,2000110154
-93.978401,43.926033,39.77,1004549967,3,230,360,17.1,F16_GARTNER,2,45T5,Corn,7,1030.9,2000110154
-93.978399,43.925978,39.74,1004549970,3,236,360,16.8,F16_GARTNER,2,45T5,Corn,7,1031.56,2000110154
-93.978397,43.925925,39.04,1004549973,3,232,360,16.9,F16_GARTNER,2,45T5,Corn,7,1032.22,2000110154
-93.978395,43.925871,38.48,1004549976,3,235,360,17,F16_GARTNER,2,45T5,Corn,7,1032.87,2000110154
-93.978394,43.925818,40.13,1004549979,3,227,360,17,F16_GARTNER,2,45T5,Corn,7,1033.53,2000110154
-93.978393,43.925764,38.22,1004549982,3,231,360,16.7,F16_GARTNER,2,45T5,Corn,7,1034.18,2000110154
-93.978391,43.925711,36.92,1004549985,3,229,360,16.9,F16_GARTNER,2,45T5,Corn,7,1035.17,2000110154
-93.978389,43.925658,33.11,1004549988,3,227,360,16.6,F16_GARTNER,2,45T5,Corn,7,1036.15,2000110154
-93.978389,43.925605,34.87,1004549991,3,229,360,16.7,F16_GARTNER,2,45T5,Corn,7,1037.14,2000110154
-93.978388,43.925552,36.87,1004549994,3,225,360,16.4,F16_GARTNER,2,45T5,Corn,7,1038.12,2000110154
-93.978386,43.9255,36.83,1004549997,3,229,360,16.7,F16_GARTNER,2,45T5,Corn,7,1039.43,2000110154
-93.978385,43.925448,33.05,1004550000,3,225,360,17.4,F16_GARTNER,2,45T5,Corn,7,1040.42,2000110154
-93.978385,43.925396,32.17,1004550003,3,227,360,17.4,F16_GARTNER,2,45T5,Corn,7,1042.06,2000110154
-93.978383,43.925344,30.12,1004550006,3,225,360,17.6,F16_GARTNER,2,45T5,Corn,7,1043.37,2000110154
-93.978382,43.925291,29.17,1004550009,3,227,360,17.4,F16_GARTNER,2,45T5,Corn,7,1044.35,2000110154
-93.978381,43.925239,28.53,1004550012,3,227,360,17.8,F16_GARTNER,2,45T5,Corn,7,1045.34,2000110154
-93.978381,43.925189,23.05,1004550015,3,220,360,17.4,F16_GARTNER,2,45T5,Corn,7,1046.65,2000110154
-93.97838,43.925149,18.77,1004550018,3,182,360,17.4,F16_GARTNER,2,45T5,Corn,7,1047.96,2000110154
-93.97838,43.925116,20.73,1004550021,3,134,360,17.4,F16_GARTNER,2,45T5,Corn,7,1049.27,2000110154
-93.978379,43.925083,28.96,1004550024,3,138,360,17.5,F16_GARTNER,2,45T5,Corn,7,1049.6,2000110154
-93.97838,43.925041,28.22,1004550027,3,182,360,17.6,F16_GARTNER,2,45T5,Corn,7,1050.58,2000110154
-93.978379,43.924995,26.56,1004550030,3,195,360,18.1,F16_GARTNER,2,45T5,Corn,7,1051.24,2000110154
-93.978379,43.924946,30.13,1004550033,3,209,360,17.5,F16_GARTNER,2,45T5,Corn,7,1052.22,2000110154
-93.97838,43.924896,31.01,1004550036,3,211,360,17.6,F16_GARTNER,2,45T5,Corn,7,1052.88,2000110154
-93.978379,43.924846,32.33,1004550039,3,221,360,17.2,F16_GARTNER,2,45T5,Corn,7,1053.21,2000110154
-93.978378,43.924796,32.03,1004550042,3,213,360,17.2,F16_GARTNER,2,45T5,Corn,7,1053.86,2000110154
-93.97838,43.924745,32.05,1004550045,3,218,360,16.7,F16_GARTNER,2,45T5,Corn,7,1054.19,2000110154
-93.97838,43.924694,34.51,1004550048,3,217,360,16.9,F16_GARTNER,2,45T5,Corn,7,1054.52,2000110154
-93.97838,43.924643,34.07,1004550051,3,219,360,17,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.978381,43.92459,36.86,1004550054,3,221,360,16.6,F16_GARTNER,2,45T5,Corn,7,1054.85,2000110154
-93.978382,43.924538,36.01,1004550057,3,228,360,16.8,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.978383,43.924484,39.19,1004550060,3,229,360,16.9,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.978384,43.92443,38.67,1004550063,3,232,360,17.1,F16_GARTNER,2,45T5,Corn,7,1055.5,2000110154
-93.978385,43.924376,39.17,1004550066,3,233,360,16.8,F16_GARTNER,2,45T5,Corn,7,1055.5,2000110154
-93.978386,43.924321,37.14,1004550069,3,238,360,16.7,F16_GARTNER,2,45T5,Corn,7,1056.16,2000110154
-93.978386,43.924268,36.44,1004550072,3,232,360,17.1,F16_GARTNER,2,45T5,Corn,7,1055.83,2000110154
-93.978386,43.924213,38.36,1004550075,3,232,360,17,F16_GARTNER,2,45T5,Corn,7,1055.83,2000110154
-93.978386,43.924158,37.7,1004550078,3,237,360,16.9,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.978386,43.924104,38.84,1004550081,3,235,360,17,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.978389,43.924049,37.92,1004550084,3,237,360,16.9,F16_GARTNER,2,45T5,Corn,7,1054.85,2000110154
-93.978389,43.923994,36.57,1004550087,3,236,360,17.1,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.97839,43.92394,37.56,1004550090,3,237,360,17,F16_GARTNER,2,45T5,Corn,7,1054.85,2000110154
-93.978389,43.923886,40.29,1004550093,3,235,360,17.6,F16_GARTNER,2,45T5,Corn,7,1054.85,2000110154
-93.978389,43.923833,37.64,1004550096,3,230,360,17.4,F16_GARTNER,2,45T5,Corn,7,1054.85,2000110154
-93.978389,43.923778,37.99,1004550099,3,231,360,17.6,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.978389,43.923724,37.51,1004550102,3,238,360,17,F16_GARTNER,2,45T5,Corn,7,1054.85,2000110154
-93.978389,43.923671,39.15,1004550105,3,230,360,17,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.97839,43.923617,34.72,1004550108,3,237,360,17.2,F16_GARTNER,2,45T5,Corn,7,1055.5,2000110154
-93.978389,43.923563,36.7,1004550111,3,235,360,17.2,F16_GARTNER,2,45T5,Corn,7,1055.5,2000110154
-93.97839,43.923509,35.99,1004550114,3,236,360,16.7,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.97839,43.923455,38.27,1004550117,3,235,360,16.9,F16_GARTNER,2,45T5,Corn,7,1055.5,2000110154
-93.97839,43.923401,36.75,1004550120,3,235,360,16.9,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.97839,43.923347,38.61,1004550123,3,230,360,16.7,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
-93.978391,43.923293,38.01,1004550126,3,236,360,16.7,F16_GARTNER,2,45T5,Corn,7,1055.18,2000110154
