harvest,block,genotype,yield
H1,B1,V1,2.69
H1,B2,V1,2.4
H1,B3,V1,3.23
H1,B4,V1,2.87
H1,B5,V1,3.27
H1,B1,V2,2.87
H1,B2,V2,3.05
H1,B3,V2,3.09
H1,B4,V2,2.9
H1,B5,V2,2.98
H1,B1,V3,3.12
H1,B2,V3,3.27
H1,B3,V3,3.41
H1,B4,V3,3.48
H1,B5,V3,3.19
H1,B1,V4,3.23
H1,B2,V4,3.23
H1,B3,V4,3.16
H1,B4,V4,3.01
H1,B5,V4,3.05
H2,B1,V1,2.74
H2,B2,V1,1.91
H2,B3,V1,3.47
H2,B4,V1,2.87
H2,B5,V1,3.43
H2,B1,V2,2.5
H2,B2,V2,2.9
H2,B3,V2,3.23
H2,B4,V2,2.98
H2,B5,V2,3.05
H2,B1,V3,2.92
H2,B2,V3,2.63
H2,B3,V3,3.67
H2,B4,V3,2.9
H2,B5,V3,3.25
H2,B1,V4,3.5
H2,B2,V4,2.89
H2,B3,V4,3.39
H2,B4,V4,2.9
H2,B5,V4,3.16
H3,B1,V1,1.67
H3,B2,V1,1.22
H3,B3,V1,2.29
H3,B4,V1,2.18
H3,B5,V1,2.3
H3,B1,V2,1.47
H3,B2,V2,1.85
H3,B3,V2,2.03
H3,B4,V2,1.82
H3,B5,V2,1.51
H3,B1,V3,1.67
H3,B2,V3,1.42
H3,B3,V3,2.81
H3,B4,V3,1.51
H3,B5,V3,1.76
H3,B1,V4,2.6
H3,B2,V4,1.92
H3,B3,V4,2.36
H3,B4,V4,1.92
H3,B5,V4,2.14
H4,B1,V1,1.92
H4,B2,V1,1.45
H4,B3,V1,1.63
H4,B4,V1,1.6
H4,B5,V1,1.96
H4,B1,V2,2
H4,B2,V2,2.03
H4,B3,V2,1.71
H4,B4,V2,1.6
H4,B5,V2,1.96
H4,B1,V3,2.03
H4,B2,V3,1.96
H4,B3,V3,1.85
H4,B4,V3,1.82
H4,B5,V3,2.4
H4,B1,V4,2.07
H4,B2,V4,1.89
H4,B3,V4,1.92
H4,B4,V4,1.82
H4,B5,V4,1.78
