,315,296,282,236,245,313,292,292,231
300,287,272,284,261,297,339,299,313,287
278,286,290,270,244,272,261,253,245,243
260,245,256,255,251,293,286,283,278,263
283,249,251,224,229,217,226,226,211,221
237,265,254,239,277,257,234,250,257,261
270,271,270,273,254,282,296,237,274,251
256,239,241,274,271,286,306,283,262,266
272,291,287,275,262,265,278,312,285,322
295,301,328,321,303,284,279,302,306,293
282,331,318,319,270,262,283,291,334,290
263,299,298,341,277,263,260,266,289,248
230,248,260,290,272,314,302,330,345,324
302,321,333,328,308,283,284,249,287,234
289,286,240,292,286,316,291,283,274,270
263,306,304,328,262,293,322,328,333,321
309,323,320,345,297,273,279,302,277,236
297,288,295,273,268,294,284,331,298,262
271,266,250,265,240,227,226,215,236,231
231,241,243,247,242,233,238,242,235,219
226,227,257,246,254,264,280,300,301,294
266,274,251,250,240,264,280,286,277,272
232,233,252,248,261,248,263,249,256,246
272,271,265,268,279,254,272,269,256,257
260,260,252,236,229,237,233,226,226,248
233,237,253,223,239,243,233,192,232,218
227,229,227,221,214,208,209,223,233,217
219,213,245,229,253,251,235,225,229,231
208,208,240,247,204,191,210,220,225,222
218,203,227,196,203,213,204,193,189,180
210,198,220,196,184,174,206,205,208,204
216,229,258,237,227,234,240,260,238,211
244,227,235,215,228,223,197,197,192,233
196,196,222,201,213,185,189,215,256,235
243,239,254,229,253,225,209,224,210,194
188,198,206,208,216,198,205,216,212,207
222,240,262,264,261,196,196,183,167,158
163,165,171,150,138,150,154,151,162,177
152,144,149,145,164,148,139,130,118,126
152,128,139,127,137,149,141,132,134,162
146,145,151,136,147,139,132,159,160,127
137,139,143,126,143,132,142,143,159,173
146,165,157,161,155,144,153,153,140,119
104,109,138,147,138,105,114,117,116,114
113,109,107,99,104,102,105,85,85,56
81,74,68,64,63,79,67,81,76,76
76,88,91,97,84,84,96,104,104,105
89,88,71,78,88,84,81,82,87,86
94,88,98,107,119,125,119,109,136,116
118,122,116,119,124,125,129,121,130,135
134,126,142,125,111,109,98,115,117,132
138,138,131,,,,,,,
